epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,371.486,0.22335,0.18245,0.76223,0.97024,0.84216,0.92828,0.6938,0.86384,0.53358,0.95696,0.000742625,0.000742625,0.000742625
43,381.404,0.22673,0.18364,0.76166,0.95277,0.84957,0.9193,0.69438,0.85404,0.54596,0.95591,0.00073025,0.00073025,0.00073025
44,390.764,0.22069,0.18146,0.76122,0.94065,0.85501,0.92288,0.68856,0.85916,0.54685,0.95574,0.000717875,0.000717875,0.000717875
45,400.137,0.22271,0.18033,0.76214,0.94301,0.84974,0.92262,0.69348,0.84671,0.53994,0.95293,0.0007055,0.0007055,0.0007055
46,409.237,0.20344,0.17202,0.76083,0.96732,0.84679,0.9163,0.68576,0.85944,0.54343,0.9546,0.000693125,0.000693125,0.000693125
47,418.84,0.1958,0.16926,0.75642,0.95905,0.84518,0.91935,0.6891,0.85994,0.54573,0.95595,0.00068075,0.00068075,0.00068075
48,427.816,0.188,0.16564,0.75902,0.95946,0.84243,0.92121,0.69676,0.85734,0.52584,0.95881,0.000668375,0.000668375,0.000668375
49,436.506,0.19576,0.16491,0.76056,0.95388,0.84844,0.922,0.69934,0.85175,0.53132,0.95505,0.000656,0.000656,0.000656
50,445.253,0.19342,0.16769,0.75735,0.95041,0.84681,0.92845,0.69712,0.85765,0.54596,0.96411,0.000643625,0.000643625,0.000643625
51,454.188,0.19509,0.16535,0.75933,0.95306,0.83684,0.91441,0.69731,0.8474,0.54128,0.95669,0.00063125,0.00063125,0.00063125
52,462.932,0.16969,0.15296,0.75945,0.97298,0.84031,0.9228,0.69673,0.84658,0.52976,0.95991,0.000618875,0.000618875,0.000618875
53,472.057,0.17318,0.15778,0.75794,0.95756,0.85189,0.92877,0.69983,0.84665,0.53328,0.95819,0.0006065,0.0006065,0.0006065
54,480.924,0.16737,0.15255,0.75803,0.93731,0.84693,0.92279,0.69798,0.84152,0.54131,0.95373,0.000594125,0.000594125,0.000594125
55,489.543,0.16611,0.15324,0.75671,0.9545,0.85037,0.92064,0.70265,0.85116,0.5432,0.96357,0.00058175,0.00058175,0.00058175
56,498.825,0.17202,0.15227,0.75651,0.94315,0.84436,0.92259,0.70393,0.83237,0.53606,0.95534,0.000569375,0.000569375,0.000569375
57,508.286,0.16212,0.15012,0.7574,0.96212,0.83245,0.92281,0.69405,0.85585,0.54859,0.96143,0.000557,0.000557,0.000557
58,517.924,0.1557,0.14564,0.75795,0.94878,0.85714,0.92445,0.69228,0.84178,0.52774,0.95715,0.000544625,0.000544625,0.000544625
59,528.192,0.15442,0.14449,0.75802,0.9458,0.84094,0.91437,0.69348,0.84469,0.5489,0.95589,0.00053225,0.00053225,0.00053225
60,537.893,0.15518,0.14624,0.75441,0.95942,0.83836,0.91942,0.69641,0.83854,0.5243,0.95721,0.000519875,0.000519875,0.000519875
