epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1953,1.15882,1.93227,1.00636,0.83411,0.77156,0.82824,0.52328,1.1384,0.90679,1.00347,0.000410714,0.000410714,0.000410714
2,19.0912,1.01742,0.83471,0.96021,0.76179,0.73265,0.81888,0.52262,1.1304,1.21111,1.02576,0.000786426,0.000786426,0.000786426
3,27.7132,0.95158,0.71229,0.93717,0.79669,0.7094,0.78705,0.52306,1.12672,0.90415,1.06606,0.00112089,0.00112089,0.00112089
4,36.3201,0.89578,0.62996,0.92406,0.87113,0.73528,0.83755,0.55184,1.13487,0.82317,1.04176,0.00106437,0.00106437,0.00106437
5,45.171,0.82324,0.55623,0.89627,0.88874,0.79585,0.86702,0.55165,1.09331,0.7423,1.02393,0.0010025,0.0010025,0.0010025
6,54.2531,0.77816,0.52378,0.87799,0.92197,0.80489,0.87583,0.59124,1.04479,0.69551,0.9903,0.000940625,0.000940625,0.000940625
7,63.0818,0.68455,0.45593,0.8503,0.95018,0.8069,0.90553,0.63355,0.96491,0.64449,0.97328,0.00087875,0.00087875,0.00087875
8,71.6751,0.60962,0.41625,0.8298,0.87258,0.85122,0.89369,0.62222,0.99176,0.6306,0.99288,0.000816875,0.000816875,0.000816875
9,80.2424,0.5775,0.38547,0.82169,0.93472,0.82616,0.89885,0.63877,0.95891,0.61098,0.96727,0.000755,0.000755,0.000755
10,88.8158,0.51867,0.35464,0.80769,0.94172,0.8002,0.90174,0.63913,0.94356,0.58033,0.97276,0.000693125,0.000693125,0.000693125
11,104.679,0.4689,0.32806,0.80075,0.93009,0.83875,0.91914,0.68102,0.90621,0.56944,0.95901,0.00063125,0.00063125,0.00063125
12,113.345,0.44186,0.30865,0.79575,0.92373,0.86811,0.92605,0.66655,0.88669,0.5513,0.95736,0.000569375,0.000569375,0.000569375
13,122.079,0.39165,0.28513,0.78743,0.94963,0.84905,0.92048,0.67961,0.87833,0.53049,0.95524,0.0005075,0.0005075,0.0005075
14,130.62,0.34856,0.25959,0.78035,0.91702,0.8699,0.92517,0.68093,0.86973,0.5367,0.95012,0.000445625,0.000445625,0.000445625
15,139.245,0.32259,0.24651,0.77725,0.91485,0.87207,0.92391,0.6828,0.86213,0.52965,0.947,0.00038375,0.00038375,0.00038375
16,147.868,0.28995,0.22784,0.77358,0.93529,0.85978,0.92531,0.69,0.85937,0.53033,0.94738,0.000321875,0.000321875,0.000321875
17,156.822,0.24241,0.20706,0.77004,0.92036,0.86972,0.92687,0.68679,0.84101,0.52815,0.94549,0.00026,0.00026,0.00026
18,165.321,0.21634,0.19206,0.7675,0.95422,0.8526,0.92151,0.68783,0.84392,0.52872,0.94495,0.000198125,0.000198125,0.000198125
19,174.009,0.19354,0.18176,0.76602,0.93667,0.85132,0.92558,0.69171,0.83427,0.52351,0.94312,0.00013625,0.00013625,0.00013625
20,182.932,0.16494,0.16532,0.76357,0.93393,0.86674,0.92456,0.6967,0.82548,0.52745,0.94372,7.4375e-05,7.4375e-05,7.4375e-05
