epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.48417,1.15882,1.93227,1.00636,0.83411,0.77156,0.82824,0.52328,1.1384,0.90679,1.00347,0.000410714,0.000410714,0.000410714
2,18.3832,1.02656,0.83536,0.96212,0.74012,0.7582,0.78914,0.49677,1.1509,1.27599,1.0451,0.000810999,0.000810999,0.000810999
3,26.9538,0.9795,0.72464,0.95191,0.80736,0.71473,0.81793,0.52795,1.13923,0.99015,1.06034,0.00119478,0.00119478,0.00119478
4,35.3413,0.9097,0.64793,0.92814,0.85989,0.7642,0.86458,0.56656,1.10379,0.84697,1.05018,0.00117575,0.00117575,0.00117575
5,43.784,0.84259,0.58391,0.89736,0.90911,0.77903,0.86254,0.57876,1.04497,0.84049,1.01365,0.001151,0.001151,0.001151
6,52.0279,0.75898,0.5207,0.87392,0.8673,0.80158,0.88392,0.57672,1.04707,0.70057,1.00495,0.00112625,0.00112625,0.00112625
7,60.362,0.70665,0.46699,0.85991,0.93824,0.85062,0.90423,0.61686,0.98923,0.62581,0.99369,0.0011015,0.0011015,0.0011015
8,68.5963,0.67364,0.44822,0.84781,0.90766,0.83485,0.88719,0.6142,0.99837,0.63886,0.97571,0.00107675,0.00107675,0.00107675
9,76.7945,0.63655,0.42024,0.83227,0.92422,0.83365,0.89513,0.62519,0.97827,0.61252,0.97264,0.001052,0.001052,0.001052
10,85.0586,0.58898,0.39459,0.82652,0.94387,0.85031,0.91239,0.62387,0.97912,0.59634,0.97734,0.00102725,0.00102725,0.00102725
11,93.428,0.55931,0.37365,0.81793,0.9506,0.84749,0.90793,0.65084,0.95521,0.58699,0.96282,0.0010025,0.0010025,0.0010025
12,101.688,0.53182,0.36244,0.80819,0.94318,0.85223,0.90128,0.6461,0.92732,0.56629,0.95537,0.00097775,0.00097775,0.00097775
13,109.82,0.47952,0.33546,0.80095,0.95942,0.8192,0.91566,0.65245,0.9255,0.57205,0.95982,0.000953,0.000953,0.000953
14,118.27,0.46586,0.32287,0.79792,0.95974,0.85375,0.91136,0.66812,0.91322,0.56719,0.96622,0.00092825,0.00092825,0.00092825
15,127.094,0.43939,0.30738,0.79271,0.94145,0.86067,0.91839,0.65527,0.918,0.55376,0.96771,0.0009035,0.0009035,0.0009035
16,135.8,0.42339,0.29476,0.78988,0.95525,0.8265,0.91319,0.67628,0.89223,0.55232,0.94889,0.00087875,0.00087875,0.00087875
17,144.321,0.41036,0.29067,0.78815,0.93749,0.86335,0.91928,0.66236,0.89654,0.53436,0.95158,0.000854,0.000854,0.000854
18,153.062,0.38905,0.28003,0.784,0.90867,0.87743,0.9092,0.65084,0.89348,0.56201,0.95969,0.00082925,0.00082925,0.00082925
19,161.807,0.37129,0.26669,0.78028,0.9555,0.85986,0.91455,0.67398,0.86996,0.5357,0.94497,0.0008045,0.0008045,0.0008045
20,170.418,0.35703,0.26069,0.77984,0.93756,0.8688,0.92458,0.68254,0.87152,0.55919,0.94422,0.00077975,0.00077975,0.00077975
21,178.983,0.34115,0.25118,0.77563,0.94161,0.86155,0.92571,0.68715,0.86952,0.53402,0.93979,0.000755,0.000755,0.000755
22,187.788,0.32448,0.23759,0.77438,0.94999,0.85269,0.90776,0.67945,0.87407,0.53496,0.94076,0.00073025,0.00073025,0.00073025
23,196.593,0.30407,0.23014,0.77217,0.96015,0.84745,0.91594,0.67786,0.85446,0.54711,0.93851,0.0007055,0.0007055,0.0007055
24,205.147,0.29113,0.22464,0.77077,0.96157,0.85298,0.91257,0.68526,0.8614,0.54785,0.93719,0.00068075,0.00068075,0.00068075
25,213.793,0.30132,0.22737,0.77191,0.93932,0.84751,0.90764,0.68204,0.86069,0.56116,0.94118,0.000656,0.000656,0.000656
26,222.593,0.27772,0.21672,0.76927,0.95374,0.84695,0.91108,0.67396,0.87679,0.54091,0.95608,0.00063125,0.00063125,0.00063125
27,231.221,0.26869,0.20985,0.76828,0.94805,0.86508,0.91792,0.68521,0.86026,0.56459,0.94783,0.0006065,0.0006065,0.0006065
28,239.744,0.25794,0.20728,0.76822,0.95994,0.84511,0.9177,0.69103,0.85482,0.54228,0.94714,0.00058175,0.00058175,0.00058175
29,248.394,0.24525,0.19696,0.7657,0.94956,0.85007,0.91663,0.69524,0.84077,0.54884,0.93928,0.000557,0.000557,0.000557
30,256.899,0.22449,0.18885,0.76417,0.94448,0.86217,0.91403,0.68686,0.84164,0.55344,0.94017,0.00053225,0.00053225,0.00053225
31,265.526,0.21558,0.18268,0.76181,0.94925,0.85772,0.92281,0.70399,0.82424,0.55065,0.93606,0.0005075,0.0005075,0.0005075
32,274.037,0.20069,0.17506,0.7613,0.95137,0.86588,0.92592,0.69486,0.8327,0.5431,0.93369,0.00048275,0.00048275,0.00048275
33,282.505,0.19349,0.17227,0.76305,0.94903,0.86178,0.92468,0.70847,0.83876,0.53741,0.94148,0.000458,0.000458,0.000458
34,291.084,0.20048,0.1743,0.76346,0.96621,0.85702,0.92618,0.70938,0.82734,0.54201,0.93854,0.00043325,0.00043325,0.00043325
35,299.698,0.18684,0.16674,0.76072,0.94464,0.85439,0.92363,0.70232,0.82614,0.54421,0.93804,0.0004085,0.0004085,0.0004085
36,308.539,0.16714,0.15423,0.76035,0.95726,0.86148,0.92657,0.71044,0.81679,0.53701,0.93459,0.00038375,0.00038375,0.00038375
37,317.42,0.1659,0.15274,0.75888,0.96284,0.85483,0.92347,0.70477,0.82842,0.55801,0.94031,0.000359,0.000359,0.000359
38,326.051,0.17088,0.15412,0.75931,0.95226,0.8577,0.92304,0.70131,0.82589,0.55494,0.9412,0.00033425,0.00033425,0.00033425
39,334.595,0.15703,0.14694,0.75858,0.95754,0.8595,0.92114,0.70367,0.818,0.55632,0.93591,0.0003095,0.0003095,0.0003095
40,343.156,0.1434,0.14076,0.75805,0.95137,0.86251,0.92121,0.70466,0.81869,0.54054,0.93832,0.00028475,0.00028475,0.00028475
41,358.417,0.13142,0.13432,0.75763,0.96141,0.86478,0.92851,0.71142,0.81399,0.54596,0.9329,0.00026,0.00026,0.00026
42,367.014,0.12383,0.13091,0.75703,0.95331,0.86098,0.92387,0.71434,0.81084,0.55036,0.93633,0.00023525,0.00023525,0.00023525
43,375.521,0.11585,0.12564,0.75681,0.94297,0.87254,0.92698,0.7157,0.81479,0.55126,0.93887,0.0002105,0.0002105,0.0002105
44,384.085,0.10802,0.12168,0.75653,0.96433,0.84905,0.92235,0.70651,0.80607,0.55365,0.93753,0.00018575,0.00018575,0.00018575
